206,149,0,1,"Compiler;Memory;Processor","Organization",
207,184,0,0,"Interconnection Network","Networks",
208,185,0,0,"Memory;Processor","Coordination",
209,186,0,1,"Processor","Microarchitecture",
210,187,0,1,"Interconnection Network;Memory;Processor","Organization",
211,188,0,1,"Processor","Microarchitecture",
212,189,0,0,"Memory","Memory",
213,190,0,0,"Memory;Software","Memory",
214,191,0,0,"Interconnection Network","Networks",
215,192,0,0,"Memory;Processor","Coordination",
216,193,0,0,"Memory;Processor","Memory",
217,194,0,1,"Memory;Processor","Organization",
218,195,0,0,"Memory;Processor","Microarchitecture",
219,196,0,0,"Memory","Memory",
220,197,0,0,"Compiler;Memory;Processor;Software","Organization",
221,198,0,0,"Interconnection Network;Memory","Organization",
222,199,0,0,"Processor;Software","Coordination",
223,200,0,1,"Processor","Microarchitecture",
224,201,0,1,"Interconnection Network;Memory;Processor","Organization",
225,222,0,1,"Memory;Processor","Memory",
226,223,0,0,"Interconnection Network;Processor","Networks",
229,224,0,0,"Memory","Memory",
231,225,1,0,"Processor","Microarchitecture",
233,226,0,0,"Interconnection Network;Memory;Processor","Organization",
234,220,0,1,"Interconnection Network;Memory;Processor","Organization",
236,227,0,0,"Interconnection Network;Memory;Processor;Software","Organization",
